group_type,state,episode_id,account_id,start_date,end_date,duration_trading_sessions,total_return,max_drawdown,longest_completed_underwater_state_days,right_censored_underwater,terminal_underwater_state_days
TREND,SIDEWAYS,72,HD-BASE-001,2024-04-02,2024-04-08,3,0.014420237773698386,-0.006637887229162698,2,False,0
TREND,SIDEWAYS,74,HD-BASE-001,2024-10-28,2024-10-30,3,0.0035926675768092053,0.0,0,False,0
TREND,SIDEWAYS,76,HD-BASE-001,2024-11-01,2024-11-01,1,0.008446195622336727,0.0,0,False,0
TREND,SIDEWAYS,78,HD-BASE-001,2024-11-13,2024-11-13,1,0.008984226265599249,0.0,0,False,0
TREND,SIDEWAYS,80,HD-BASE-001,2024-11-18,2024-11-18,1,0.006826142418928871,0.0,0,False,0
TREND,SIDEWAYS,82,HD-BASE-001,2024-11-25,2025-05-16,114,0.06484036514692004,-0.05061647233436717,80,True,1
TREND,SIDEWAYS,84,HD-BASE-001,2025-06-04,2025-06-04,1,-0.005185625446262887,-0.005185625446262887,0,True,1
TREND,SIDEWAYS,86,HD-BASE-001,2025-06-17,2025-09-09,61,-0.03403464119916089,-0.05375881139600647,3,True,53
TREND,SIDEWAYS,2,HD-BASE-RM-001,2022-03-16,2022-03-16,1,0.0188920745443375,0.0,0,False,0
TREND,SIDEWAYS,4,HD-BASE-RM-001,2022-03-21,2022-03-22,2,0.0039551746868820015,-0.0019775873434410007,1,False,0
TREND,SIDEWAYS,6,HD-BASE-RM-001,2022-03-31,2022-04-01,2,0.004859037303234004,0.0,0,False,0
TREND,SIDEWAYS,8,HD-BASE-RM-001,2022-04-20,2022-04-21,2,0.005212470214455811,0.0,0,False,0
TREND,SIDEWAYS,10,HD-BASE-RM-001,2022-04-25,2022-05-13,12,-0.0068000394205181,-0.020400118261554856,0,True,12
TREND,SIDEWAYS,12,HD-BASE-RM-001,2022-05-17,2022-05-19,3,0.004331806413065076,-0.0032857071737939503,1,False,0
TREND,SIDEWAYS,14,HD-BASE-RM-001,2022-05-23,2022-05-26,4,0.007434207265698767,-0.006096049957872718,3,False,0
TREND,SIDEWAYS,16,HD-BASE-RM-001,2022-06-27,2022-07-01,5,0.014110307951282541,-0.0038617684919297623,4,False,0
TREND,SIDEWAYS,18,HD-BASE-RM-001,2022-07-06,2022-07-11,4,0.006598562979617473,-0.0026394251918471223,3,False,0
TREND,SIDEWAYS,20,HD-BASE-RM-001,2022-07-15,2022-07-18,2,0.0013078227173648482,-0.0081375635747154,1,False,0
TREND,SIDEWAYS,22,HD-BASE-RM-001,2022-07-28,2022-08-05,7,0.002329238887225804,-0.006987716661676302,6,False,0
TREND,SIDEWAYS,24,HD-BASE-RM-001,2022-08-12,2022-09-16,25,-0.007852036609877877,-0.01550680439542984,0,True,24
TREND,SIDEWAYS,26,HD-BASE-RM-001,2022-09-20,2022-09-20,1,-0.0008790955474298201,-0.0008790955474298201,0,True,1
TREND,SIDEWAYS,28,HD-BASE-RM-001,2022-09-26,2022-10-10,6,0.00044051591265881207,-0.01365599329241085,5,False,0
TREND,SIDEWAYS,30,HD-BASE-RM-001,2022-10-13,2022-10-31,12,-0.043393860822894315,-0.043393860822894315,0,True,12
TREND,SIDEWAYS,32,HD-BASE-RM-001,2022-11-03,2022-11-03,1,-0.007358355489307633,-0.007358355489307633,0,True,1
TREND,SIDEWAYS,34,HD-BASE-RM-001,2022-11-07,2022-12-08,24,0.011708164750311001,-0.013667364386452774,3,True,9
TREND,SIDEWAYS,36,HD-BASE-RM-001,2022-12-12,2022-12-12,1,-0.003653414750357631,-0.003653414750357631,0,True,1
TREND,SIDEWAYS,38,HD-BASE-RM-001,2022-12-14,2022-12-14,1,0.00015287722582879582,0.0,0,False,0
TREND,SIDEWAYS,40,HD-BASE-RM-001,2022-12-16,2022-12-16,1,0.005207378753588232,0.0,0,False,0
TREND,SIDEWAYS,42,HD-BASE-RM-001,2022-12-21,2022-12-21,1,0.0012278984671221238,0.0,0,False,0
TREND,SIDEWAYS,44,HD-BASE-RM-001,2022-12-23,2023-01-05,9,0.006294912022207333,-0.0034969305565338837,1,True,3
TREND,SIDEWAYS,46,HD-BASE-RM-001,2023-02-15,2023-02-15,1,-0.0016683864529042358,-0.0016683864529042358,0,True,1
TREND,SIDEWAYS,48,HD-BASE-RM-001,2023-03-02,2023-03-08,5,-0.004392477453211363,-0.005597412885849473,1,True,3
TREND,SIDEWAYS,50,HD-BASE-RM-001,2023-03-31,2023-05-09,24,0.023184640150644364,-0.006831821834007656,10,False,0
TREND,SIDEWAYS,52,HD-BASE-RM-001,2023-05-25,2023-08-22,62,0.003312959710869867,-0.013153622985635494,48,True,3
TREND,SIDEWAYS,54,HD-BASE-RM-001,2023-08-24,2023-09-12,14,0.0017757976537771114,-0.007228709483574902,1,True,12
