exchange,trade_date,is_open,previous_trade_date,source
SSE,19981201,1,19981130,sina_finance
SSE,19981202,1,19981201,sina_finance
SSE,19981203,1,19981202,sina_finance
SSE,19981204,1,19981203,sina_finance
SSE,19981207,1,19981204,sina_finance
SSE,19981208,1,19981207,sina_finance
SSE,19981209,1,19981208,sina_finance
SSE,19981210,1,19981209,sina_finance
SSE,19981211,1,19981210,sina_finance
SSE,19981214,1,19981211,sina_finance
SSE,19981215,1,19981214,sina_finance
SSE,19981216,1,19981215,sina_finance
SSE,19981217,1,19981216,sina_finance
SSE,19981218,1,19981217,sina_finance
SSE,19981221,1,19981218,sina_finance
SSE,19981222,1,19981221,sina_finance
SSE,19981223,1,19981222,sina_finance
SSE,19981224,1,19981223,sina_finance
SSE,19981225,1,19981224,sina_finance
SSE,19981228,1,19981225,sina_finance
SSE,19981229,1,19981228,sina_finance
SSE,19981230,1,19981229,sina_finance
SSE,19981231,1,19981230,sina_finance
SSE,19990104,1,19981231,sina_finance
SSE,19990105,1,19990104,sina_finance
SSE,19990106,1,19990105,sina_finance
SSE,19990107,1,19990106,sina_finance
SSE,19990108,1,19990107,sina_finance
SSE,19990111,1,19990108,sina_finance
SSE,19990112,1,19990111,sina_finance
SSE,19990113,1,19990112,sina_finance
SSE,19990114,1,19990113,sina_finance
SSE,19990115,1,19990114,sina_finance
SSE,19990118,1,19990115,sina_finance
SSE,19990119,1,19990118,sina_finance
SSE,19990120,1,19990119,sina_finance
SSE,19990121,1,19990120,sina_finance
SSE,19990122,1,19990121,sina_finance
SSE,19990125,1,19990122,sina_finance
SSE,19990126,1,19990125,sina_finance
SSE,19990127,1,19990126,sina_finance
SSE,19990128,1,19990127,sina_finance
SSE,19990129,1,19990128,sina_finance
SSE,19990201,1,19990129,sina_finance
SSE,19990202,1,19990201,sina_finance
SSE,19990203,1,19990202,sina_finance
SSE,19990204,1,19990203,sina_finance
SSE,19990205,1,19990204,sina_finance
SSE,19990208,1,19990205,sina_finance
SSE,19990209,1,19990208,sina_finance
SSE,19990301,1,19990209,sina_finance
SSE,19990302,1,19990301,sina_finance
SSE,19990303,1,19990302,sina_finance
SSE,19990304,1,19990303,sina_finance
SSE,19990305,1,19990304,sina_finance
SSE,19990308,1,19990305,sina_finance
SSE,19990309,1,19990308,sina_finance
SSE,19990310,1,19990309,sina_finance
SSE,19990311,1,19990310,sina_finance
SSE,19990312,1,19990311,sina_finance
SSE,19990315,1,19990312,sina_finance
SSE,19990316,1,19990315,sina_finance
SSE,19990317,1,19990316,sina_finance
SSE,19990318,1,19990317,sina_finance
SSE,19990319,1,19990318,sina_finance
SSE,19990322,1,19990319,sina_finance
SSE,19990323,1,19990322,sina_finance
SSE,19990324,1,19990323,sina_finance
SSE,19990325,1,19990324,sina_finance
SSE,19990326,1,19990325,sina_finance
SSE,19990329,1,19990326,sina_finance
SSE,19990330,1,19990329,sina_finance
SSE,19990331,1,19990330,sina_finance
SSE,19990401,1,19990331,sina_finance
SSE,19990402,1,19990401,sina_finance
SSE,19990405,1,19990402,sina_finance
SSE,19990406,1,19990405,sina_finance
SSE,19990407,1,19990406,sina_finance
SSE,19990408,1,19990407,sina_finance
SSE,19990409,1,19990408,sina_finance
SSE,19990412,1,19990409,sina_finance
SSE,19990413,1,19990412,sina_finance
SSE,19990414,1,19990413,sina_finance
SSE,19990415,1,19990414,sina_finance
SSE,19990416,1,19990415,sina_finance
SSE,19990419,1,19990416,sina_finance
SSE,19990420,1,19990419,sina_finance
SSE,19990421,1,19990420,sina_finance
SSE,19990422,1,19990421,sina_finance
SSE,19990423,1,19990422,sina_finance
SSE,19990426,1,19990423,sina_finance
SSE,19990427,1,19990426,sina_finance
SSE,19990428,1,19990427,sina_finance
SSE,19990429,1,19990428,sina_finance
SSE,19990430,1,19990429,sina_finance
SSE,19990504,1,19990430,sina_finance
SSE,19990505,1,19990504,sina_finance
SSE,19990506,1,19990505,sina_finance
SSE,19990507,1,19990506,sina_finance
SSE,19990510,1,19990507,sina_finance
SSE,19990511,1,19990510,sina_finance
SSE,19990512,1,19990511,sina_finance
SSE,19990513,1,19990512,sina_finance
SSE,19990514,1,19990513,sina_finance
SSE,19990517,1,19990514,sina_finance
SSE,19990518,1,19990517,sina_finance
SSE,19990519,1,19990518,sina_finance
SSE,19990520,1,19990519,sina_finance
SSE,19990521,1,19990520,sina_finance
SSE,19990524,1,19990521,sina_finance
SSE,19990525,1,19990524,sina_finance
SSE,19990526,1,19990525,sina_finance
SSE,19990527,1,19990526,sina_finance
SSE,19990528,1,19990527,sina_finance
SSE,19990531,1,19990528,sina_finance
SSE,19990601,1,19990531,sina_finance
SSE,19990602,1,19990601,sina_finance
SSE,19990603,1,19990602,sina_finance
SSE,19990604,1,19990603,sina_finance
SSE,19990607,1,19990604,sina_finance
SSE,19990608,1,19990607,sina_finance
SSE,19990609,1,19990608,sina_finance
SSE,19990610,1,19990609,sina_finance
SSE,19990611,1,19990610,sina_finance
SSE,19990614,1,19990611,sina_finance
SSE,19990615,1,19990614,sina_finance
SSE,19990616,1,19990615,sina_finance
SSE,19990617,1,19990616,sina_finance
SSE,19990618,1,19990617,sina_finance
SSE,19990621,1,19990618,sina_finance
SSE,19990622,1,19990621,sina_finance
